id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
254,17.05.2022,asega,testfirst,control,4,6,right,yes,one,
255,17.05.2022,asega,testfirst,control,4,7,right,yes,two,
256,17.05.2022,asega,testfirst,control,4,8,right,yes,one,
257,15.05.2022,indi,controlfirst,control,1,1,right,yes,two,
258,15.05.2022,indi,controlfirst,control,1,2,right,yes,two,
259,15.05.2022,indi,controlfirst,control,1,3,right,yes,two,
260,15.05.2022,indi,controlfirst,control,1,4,right,yes,two,
261,15.05.2022,indi,controlfirst,control,1,5,right,yes,one,two hands on same platform
262,15.05.2022,indi,controlfirst,control,1,6,right,yes,two,
263,15.05.2022,indi,controlfirst,control,1,7,right,yes,one,two hands on same platform
264,15.05.2022,indi,controlfirst,control,1,8,right,yes,one,two hands on same platform
265,16.05.2022,indi,controlfirst,control,2,1,left,yes,two,
266,16.05.2022,indi,controlfirst,control,2,2,left,yes,one,two hands on same platform
267,16.05.2022,indi,controlfirst,control,2,3,left,yes,one,two hands on same platform
268,16.05.2022,indi,controlfirst,control,2,4,left,yes,two,
269,16.05.2022,indi,controlfirst,control,2,5,left,yes,two,
270,16.05.2022,indi,controlfirst,control,2,6,left,yes,one,two hands on same platform
271,16.05.2022,indi,controlfirst,control,2,7,left,yes,one,two hands on same platform
272,16.05.2022,indi,controlfirst,control,2,8,left,yes,two,
273,17.05.2022,indi,controlfirst,test,3,1,right,yes,two,
274,17.05.2022,indi,controlfirst,test,3,2,left,yes,two,
275,17.05.2022,indi,controlfirst,test,3,3,left,no,one,
276,17.05.2022,indi,controlfirst,test,3,4,left,yes,two,
277,17.05.2022,indi,controlfirst,test,3,5,left,yes,two,
278,17.05.2022,indi,controlfirst,test,3,6,left,yes,one,
279,17.05.2022,indi,controlfirst,test,3,7,left,no,one,
280,17.05.2022,indi,controlfirst,test,3,8,left,yes,one,
281,18.05.2022,indi,controlfirst,test,4,1,right,yes,one,
282,18.05.2022,indi,controlfirst,test,4,2,right,yes,two,
283,18.05.2022,indi,controlfirst,test,4,3,left,yes,two,
284,18.05.2022,indi,controlfirst,test,4,4,left,yes,two,
285,18.05.2022,indi,controlfirst,test,4,5,right,yes,two,
286,18.05.2022,indi,controlfirst,test,4,6,right,yes,two,
287,18.05.2022,indi,controlfirst,test,4,7,right,yes,two,
288,18.05.2022,indi,controlfirst,test,4,8,left,no,one,
289,15.05.2022,umugenzi,controlfirst,control,1,1,right,yes,one,
290,15.05.2022,umugenzi,controlfirst,control,1,2,right,yes,two,
291,15.05.2022,umugenzi,controlfirst,control,1,3,right,yes,two,
292,15.05.2022,umugenzi,controlfirst,control,1,4,right,yes,two,
293,15.05.2022,umugenzi,controlfirst,control,1,5,right,yes,two,
294,15.05.2022,umugenzi,controlfirst,control,1,6,right,yes,two,
295,15.05.2022,umugenzi,controlfirst,control,1,7,right,yes,two,
296,15.05.2022,umugenzi,controlfirst,control,1,8,right,yes,two,
297,16.05.2022,umugenzi,controlfirst,control,2,1,left,yes,two,two hands on same platform
298,16.05.2022,umugenzi,controlfirst,control,2,2,left,yes,one,
299,16.05.2022,umugenzi,controlfirst,control,2,3,left,yes,one,
300,16.05.2022,umugenzi,controlfirst,control,2,4,left,yes,two,
301,16.05.2022,umugenzi,controlfirst,control,2,5,left,yes,one,
302,16.05.2022,umugenzi,controlfirst,control,2,6,left,yes,one,
303,16.05.2022,umugenzi,controlfirst,control,2,7,left,yes,one,
